file_id	md5	size	urls	sample_id	subject_id
745297f7a7f28d0d15d5060e7b4ba306	ae5888f8350f7063dff033d26eb4fbe6	33546240	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/raw/EP134204_K110_MV1D.rawseqset.tar	858ed4564f11795ec13dda4c10edf8f2	EP134204
745297f7a7f28d0d15d5060e7b5ee1c1	e4403eddd8a04724fbe0ae09ef44a9f5	34703360	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/raw/EP488403_K110_MV1D.rawseqset.tar	8938ac880f194a32bc6b736c15011c97	EP488403
745297f7a7f28d0d15d5060e7b54c3a1	445996ea0d289d4a65c720a19c8c21c3	59504640	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/raw/EP724185_K110_MV1D.rawseqset.tar	8938ac880f194a32bc6b736c152044db	EP724185
745297f7a7f28d0d15d5060e7b3de41b	c934348355001ef7af30fad8cf199749	6543360	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/raw/EP424615_K110_MV1D.rawseqset.tar	858ed4564f11795ec13dda4c10f6c828	EP424615
745297f7a7f28d0d15d5060e7b23d1fb	3ad2d46d09f73ddb10c64a3daca13ed8	21278720	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/raw/EP899509_K110_MV1D.rawseqset.tar	8938ac880f194a32bc6b736c1546b7d7	EP899509
745297f7a7f28d0d15d5060e7b526c80	ffc3b89731557457160b1a5e7cf169e1	44390400	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/raw/EP101628_K110_MV1D.rawseqset.tar	8938ac880f194a32bc6b736c152f2941	EP101628
745297f7a7f28d0d15d5060e7b3875e9	8c36b58fd13ed7586d13055a895c4d64	26439680	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/raw/EP524246_K110_MV1D.rawseqset.tar	8938ac880f194a32bc6b736c1519f891	EP524246
6d91411d5ede0689305232cc7725689a	98da3366a271f1cc786198579dcba4ea	21022720	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/raw/EP442697_K110_MV1D.rawseqset.tar	e50d0c183689e4053ccb35f8b2be609c	EP442697
745297f7a7f28d0d15d5060e7b26b34c	72e8fad0d4a2ab590541180722f274a3	6369280	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/raw/EP376326_K110_MV1D.rawseqset.tar	858ed4564f11795ec13dda4c10f4fc3e	EP376326
745297f7a7f28d0d15d5060e7b34a323	acadc1163778fd16e8ed11197ca614bf	18339840	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/raw/EP464472_K110_MV1D.rawseqset.tar	8938ac880f194a32bc6b736c1524e176	EP464472
745297f7a7f28d0d15d5060e7b0e8c00	a5cf8c46bfa8b5219c16167ec1c0603a	12646400	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/raw/EP013002_K110_MV1D.rawseqset.tar	858ed4564f11795ec13dda4c10ebf9ac	EP013002
69c6b9398e0e2e889eb127933fa6e8e3	740d1683865767fbbbc39f06d5b68b94	21135360	https://downloads.hmpdacc.org/ihmp/ptb/genome/microbiome/16s/raw/EP300768_K110_MV1D.rawseqset.tar	76612bd9a41885add4f6b0b7689af3cf	EP300768
